"activity" "subjectId" "variable" "value"
"laying" 22 "meanFrequencyBodyAccelerationJerkMean-Z" -0.739701808286604
"laying" 22 "meanFrequencyBodyAccelerationJerkStandardDeviation-X" -0.602457991412617
"laying" 22 "meanFrequencyBodyAccelerationJerkStandardDeviation-Y" -0.576391814080349
"laying" 22 "meanFrequencyBodyAccelerationJerkStandardDeviation-Z" -0.780252702647975
"laying" 22 "meanFrequencyBodyAccelerationMagnitudeMean" -0.574333164853583
"laying" 22 "meanFrequencyBodyAccelerationMagnitudeStandardDeviation" -0.673896212809346
"laying" 22 "meanFrequencyBodyAccelerationMean-X" -0.594929652065732
"laying" 22 "meanFrequencyBodyAccelerationMean-Y" -0.508172778206231
"laying" 22 "meanFrequencyBodyAccelerationMean-Z" -0.687320961149533
"laying" 22 "meanFrequencyBodyAccelerationStandardDeviation-X" -0.528958812567601
"laying" 22 "meanFrequencyBodyAccelerationStandardDeviation-Y" -0.51558097336324
"laying" 22 "meanFrequencyBodyAccelerationStandardDeviation-Z" -0.665516999699377
"laying" 22 "meanFrequencyBodyBodyAccelerationJerkMagnitudeMean" -0.585442501515888
"laying" 22 "meanFrequencyBodyBodyAccelerationJerkMagnitudeStandardDeviation" -0.599286879114019
"laying" 22 "meanFrequencyBodyBodyGyroscopeJerkMagnitudeMean" -0.830191956697819
"laying" 22 "meanFrequencyBodyBodyGyroscopeJerkMagnitudeStandardDeviation" -0.835597218255452
"laying" 22 "meanFrequencyBodyBodyGyroscopeMagnitudeMean" -0.728166770031153
"laying" 22 "meanFrequencyBodyBodyGyroscopeMagnitudeStandardDeviation" -0.699600086233645
"laying" 22 "meanFrequencyBodyGyroscopeMean-X" -0.639575654479751
"laying" 22 "meanFrequencyBodyGyroscopeMean-Y" -0.79139974588785
"laying" 22 "meanFrequencyBodyGyroscopeMean-Z" -0.643363339819315
"laying" 22 "meanFrequencyBodyGyroscopeStandardDeviation-X" -0.714977903442368
"laying" 22 "meanFrequencyBodyGyroscopeStandardDeviation-Y" -0.782046079563863
"laying" 22 "meanFrequencyBodyGyroscopeStandardDeviation-Z" -0.690679448900312
"laying" 22 "meanTimeBodyAccelerationJerkMagnitudeMean" -0.609772829890966
"laying" 22 "meanTimeBodyAccelerationJerkMagnitudeStandardDeviation" -0.589823140414673
"laying" 22 "meanTimeBodyAccelerationJerkMean-X" 0.0791031130417757
"laying" 22 "meanTimeBodyAccelerationJerkMean-Y" 0.0152572466619626
"laying" 22 "meanTimeBodyAccelerationJerkMean-Z" -0.0072287329753271
"laying" 22 "meanTimeBodyAccelerationJerkStandardDeviation-X" -0.584963756862305
"laying" 22 "meanTimeBodyAccelerationJerkStandardDeviation-Y" -0.560470117123364
"laying" 22 "meanTimeBodyAccelerationJerkStandardDeviation-Z" -0.760468444299065
"laying" 22 "meanTimeBodyAccelerationMagnitudeMean" -0.504099198287601
"laying" 22 "meanTimeBodyAccelerationMagnitudeStandardDeviation" -0.595953853592586
"laying" 22 "meanTimeBodyAccelerationMean-X" 0.274767690046106
"laying" 22 "meanTimeBodyAccelerationMean-Y" -0.0168273604077383
"laying" 22 "meanTimeBodyAccelerationMean-Z" -0.108670376782866
"laying" 22 "meanTimeBodyAccelerationStandardDeviation-X" -0.546089975548692
"laying" 22 "meanTimeBodyAccelerationStandardDeviation-Y" -0.491188426241526
"laying" 22 "meanTimeBodyAccelerationStandardDeviation-Z" -0.65508967878972
"laying" 22 "meanTimeBodyGyroscopeJerkMagnitudeMean" -0.794681311214953
"laying" 22 "meanTimeBodyGyroscopeJerkMagnitudeStandardDeviation" -0.82649344800623
"laying" 22 "meanTimeBodyGyroscopeJerkMean-X" -0.109257561827445
"laying" 22 "meanTimeBodyGyroscopeJerkMean-Y" -0.0384616223750156
"laying" 22 "meanTimeBodyGyroscopeJerkMean-Z" -0.0582144293519003
"laying" 22 "meanTimeBodyGyroscopeJerkStandardDeviation-X" -0.708898710199377
"laying" 22 "meanTimeBodyGyroscopeJerkStandardDeviation-Y" -0.859924419844237
"laying" 22 "meanTimeBodyGyroscopeJerkStandardDeviation-Z" -0.742272774987539
"laying" 22 "meanTimeBodyGyroscopeMagnitudeMean" -0.637666108456075
"laying" 22 "meanTimeBodyGyroscopeMagnitudeStandardDeviation" -0.67637856158162
"laying" 22 "meanTimeBodyGyroscopeMean-X" -0.00800630644716511
"laying" 22 "meanTimeBodyGyroscopeMean-Y" -0.0949661116922118
"laying" 22 "meanTimeBodyGyroscopeMean-Z" 0.0812406584647975
"laying" 22 "meanTimeBodyGyroscopeStandardDeviation-X" -0.695919202960436
"laying" 22 "meanTimeBodyGyroscopeStandardDeviation-Y" -0.784052281090343
"laying" 22 "meanTimeBodyGyroscopeStandardDeviation-Z" -0.654458016208723
"laying" 22 "meanTimeGravityAccelerationMagnitudeMean" -0.504099198287601
"laying" 22 "meanTimeGravityAccelerationMagnitudeStandardDeviation" -0.595953853592586
"laying" 22 "meanTimeGravityAccelerationMean-X" 0.609390874922118
"laying" 22 "meanTimeGravityAccelerationMean-Y" 0.0315098683115265
"laying" 22 "meanTimeGravityAccelerationMean-Z" 0.23588786398215
"laying" 22 "meanTimeGravityAccelerationStandardDeviation-X" -0.95850446411215
"laying" 22 "meanTimeGravityAccelerationStandardDeviation-Y" -0.957323093436449
"laying" 22 "meanTimeGravityAccelerationStandardDeviation-Z" -0.939081026109034
"laying" 23 "meanFrequencyBodyAccelerationJerkMean-X" -0.617521836605645
"laying" 23 "meanFrequencyBodyAccelerationJerkMean-Y" -0.628231338392742
"laying" 23 "meanFrequencyBodyAccelerationJerkMean-Z" -0.578870810235484
"laying" 23 "meanFrequencyBodyAccelerationJerkStandardDeviation-X" -0.635054351475538
"laying" 23 "meanFrequencyBodyAccelerationJerkStandardDeviation-Y" -0.636977610060753
"laying" 23 "meanFrequencyBodyAccelerationJerkStandardDeviation-Z" -0.627540367652688
"laying" 23 "meanFrequencyBodyAccelerationMagnitudeMean" -0.529029284118011
"laying" 23 "meanFrequencyBodyAccelerationMagnitudeStandardDeviation" -0.657048917971505
"laying" 23 "meanFrequencyBodyAccelerationMean-X" -0.599080886430645
"laying" 23 "meanFrequencyBodyAccelerationMean-Y" -0.548483208943548
"laying" 23 "meanFrequencyBodyAccelerationMean-Z" -0.49021281618414
"laying" 23 "meanFrequencyBodyAccelerationStandardDeviation-X" -0.633839114436559
"laying" 23 "meanFrequencyBodyAccelerationStandardDeviation-Y" -0.554471679592177
"laying" 23 "meanFrequencyBodyAccelerationStandardDeviation-Z" -0.474767543716048
"laying" 23 "meanFrequencyBodyBodyAccelerationJerkMagnitudeMean" -0.542663319457527
"laying" 23 "meanFrequencyBodyBodyAccelerationJerkMagnitudeStandardDeviation" -0.583832309145968
"laying" 23 "meanFrequencyBodyBodyGyroscopeJerkMagnitudeMean" -0.584111049810215
"laying" 23 "meanFrequencyBodyBodyGyroscopeJerkMagnitudeStandardDeviation" -0.593735302105376
"laying" 23 "meanFrequencyBodyBodyGyroscopeMagnitudeMean" -0.534657191683602
"laying" 23 "meanFrequencyBodyBodyGyroscopeMagnitudeStandardDeviation" -0.632288527203763
"laying" 23 "meanFrequencyBodyGyroscopeMean-X" -0.685136501518817
"laying" 23 "meanFrequencyBodyGyroscopeMean-Y" -0.497783811010484
"laying" 23 "meanFrequencyBodyGyroscopeMean-Z" -0.617685416736559
"laying" 23 "meanFrequencyBodyGyroscopeStandardDeviation-X" -0.779197054064516
"laying" 23 "meanFrequencyBodyGyroscopeStandardDeviation-Y" -0.50785054741371
"laying" 23 "meanFrequencyBodyGyroscopeStandardDeviation-Z" -0.644131036807258
"laying" 23 "meanTimeBodyAccelerationJerkMagnitudeMean" -0.58640067170914
"laying" 23 "meanTimeBodyAccelerationJerkMagnitudeStandardDeviation" -0.55872531418629
"laying" 23 "meanTimeBodyAccelerationJerkMean-X" 0.0778588215843817
"laying" 23 "meanTimeBodyAccelerationJerkMean-Y" 0.0200470964972984
"laying" 23 "meanTimeBodyAccelerationJerkMean-Z" -0.000717680881887096
"laying" 23 "meanTimeBodyAccelerationJerkStandardDeviation-X" -0.608183751830914
"laying" 23 "meanTimeBodyAccelerationJerkStandardDeviation-Y" -0.61898123051828
"laying" 23 "meanTimeBodyAccelerationJerkStandardDeviation-Z" -0.603048769571532
"laying" 23 "meanTimeBodyAccelerationMagnitudeMean" -0.532754757205108
"laying" 23 "meanTimeBodyAccelerationMagnitudeStandardDeviation" -0.56557562579215
"laying" 23 "meanTimeBodyAccelerationMean-X" 0.273493254730108
"laying" 23 "meanTimeBodyAccelerationMean-Y" -0.019589258786828
"laying" 23 "meanTimeBodyAccelerationMean-Z" -0.109093982385242
"laying" 23 "meanTimeBodyAccelerationStandardDeviation-X" -0.622594039757258
"laying" 23 "meanTimeBodyAccelerationStandardDeviation-Y" -0.532078546615699
"laying" 23 "meanTimeBodyAccelerationStandardDeviation-Z" -0.450557203409946
"laying" 23 "meanTimeBodyGyroscopeJerkMagnitudeMean" -0.623412641977151
"laying" 23 "meanTimeBodyGyroscopeJerkMagnitudeStandardDeviation" -0.573942888021613
"laying" 23 "meanTimeBodyGyroscopeJerkMean-X" -0.0966990737225806
"laying" 23 "meanTimeBodyGyroscopeJerkMean-Y" -0.0432722741798387
"laying" 23 "meanTimeBodyGyroscopeJerkMean-Z" -0.0621959093526344
"laying" 23 "meanTimeBodyGyroscopeJerkStandardDeviation-X" -0.728692138333333
"laying" 23 "meanTimeBodyGyroscopeJerkStandardDeviation-Y" -0.546043593651882
"laying" 23 "meanTimeBodyGyroscopeJerkStandardDeviation-Z" -0.740518145887097
"laying" 23 "meanTimeBodyGyroscopeMagnitudeMean" -0.544207964433387
"laying" 23 "meanTimeBodyGyroscopeMagnitudeStandardDeviation" -0.541949073660753
"laying" 23 "meanTimeBodyGyroscopeMean-X" -0.0220890418013172
"laying" 23 "meanTimeBodyGyroscopeMean-Y" -0.0825972963754032
"laying" 23 "meanTimeBodyGyroscopeMean-Z" 0.074694942324328
"laying" 23 "meanTimeBodyGyroscopeStandardDeviation-X" -0.755738625241935
"laying" 23 "meanTimeBodyGyroscopeStandardDeviation-Y" -0.500338191139785
"laying" 23 "meanTimeBodyGyroscopeStandardDeviation-Z" -0.609683451821774
"laying" 23 "meanTimeGravityAccelerationMagnitudeMean" -0.532754757205108
"laying" 23 "meanTimeGravityAccelerationMagnitudeStandardDeviation" -0.56557562579215
"laying" 23 "meanTimeGravityAccelerationMean-X" 0.662324737580645
"laying" 23 "meanTimeGravityAccelerationMean-Y" 0.0146209197354839
"laying" 23 "meanTimeGravityAccelerationMean-Z" 0.0518662466372043
"laying" 23 "meanTimeGravityAccelerationStandardDeviation-X" -0.964393040295699
"laying" 23 "meanTimeGravityAccelerationStandardDeviation-Y" -0.960318907096774
"laying" 23 "meanTimeGravityAccelerationStandardDeviation-Z" -0.934236146612903
"laying" 25 "meanFrequencyBodyAccelerationJerkMean-X" -0.804144642836186
"laying" 25 "meanFrequencyBodyAccelerationJerkMean-Y" -0.740570312249389
"laying" 25 "meanFrequencyBodyAccelerationJerkMean-Z" -0.849504849486553
"laying" 25 "meanFrequencyBodyAccelerationJerkStandardDeviation-X" -0.807712525721271
"laying" 25 "meanFrequencyBodyAccelerationJerkStandardDeviation-Y" -0.721707668572127
"laying" 25 "meanFrequencyBodyAccelerationJerkStandardDeviation-Z" -0.870541516210269
"laying" 25 "meanFrequencyBodyAccelerationMagnitudeMean" -0.69501971
"laying" 25 "meanFrequencyBodyAccelerationMagnitudeStandardDeviation" -0.695367928718826
"laying" 25 "meanFrequencyBodyAccelerationMean-X" -0.748416509682152
"laying" 25 "meanFrequencyBodyAccelerationMean-Y" -0.600027697242054
"laying" 25 "meanFrequencyBodyAccelerationMean-Z" -0.738509947579462
"laying" 25 "meanFrequencyBodyAccelerationStandardDeviation-X" -0.705223686579951
"laying" 25 "meanFrequencyBodyAccelerationStandardDeviation-Y" -0.529064652290954
"laying" 25 "meanFrequencyBodyAccelerationStandardDeviation-Z" -0.630224637674572
"laying" 25 "meanFrequencyBodyBodyAccelerationJerkMagnitudeMean" -0.779190075892421
"laying" 25 "meanFrequencyBodyBodyAccelerationJerkMagnitudeStandardDeviation" -0.783547229755501
"laying" 25 "meanFrequencyBodyBodyGyroscopeJerkMagnitudeMean" -0.875970674743276
"laying" 25 "meanFrequencyBodyBodyGyroscopeJerkMagnitudeStandardDeviation" -0.877714953691932
"laying" 25 "meanFrequencyBodyBodyGyroscopeMagnitudeMean" -0.754236109755501
"laying" 25 "meanFrequencyBodyBodyGyroscopeMagnitudeStandardDeviation" -0.697213120366748
"laying" 25 "meanFrequencyBodyGyroscopeMean-X" -0.672197763601467
"laying" 25 "meanFrequencyBodyGyroscopeMean-Y" -0.81313379207824
"laying" 25 "meanFrequencyBodyGyroscopeMean-Z" -0.746832213594132
"laying" 25 "meanFrequencyBodyGyroscopeStandardDeviation-X" -0.690398481943765
"laying" 25 "meanFrequencyBodyGyroscopeStandardDeviation-Y" -0.723584437530562
"laying" 25 "meanFrequencyBodyGyroscopeStandardDeviation-Z" -0.771208929095355
"laying" 25 "meanTimeBodyAccelerationJerkMagnitudeMean" -0.783445354474328
"laying" 25 "meanTimeBodyAccelerationJerkMagnitudeStandardDeviation" -0.780451867848411
"laying" 25 "meanTimeBodyAccelerationJerkMean-X" 0.0817657442063814
"laying" 25 "meanTimeBodyAccelerationJerkMean-Y" 0.00638633884442543
"laying" 25 "meanTimeBodyAccelerationJerkMean-Z" -0.010346171499489
"laying" 25 "meanTimeBodyAccelerationJerkStandardDeviation-X" -0.79682335007335
"laying" 25 "meanTimeBodyAccelerationJerkStandardDeviation-Y" -0.722502919364303
"laying" 25 "meanTimeBodyAccelerationJerkStandardDeviation-Z" -0.860669382640587
"laying" 25 "meanTimeBodyAccelerationMagnitudeMean" -0.583377749713936
"laying" 25 "meanTimeBodyAccelerationMagnitudeStandardDeviation" -0.659015505611247
"laying" 25 "meanTimeBodyAccelerationMean-X" 0.275301467772127
"laying" 25 "meanTimeBodyAccelerationMean-Y" -0.0193221769314914
"laying" 25 "meanTimeBodyAccelerationMean-Z" -0.10962903098044
"laying" 25 "meanTimeBodyAccelerationStandardDeviation-X" -0.716264537547677
"laying" 25 "meanTimeBodyAccelerationStandardDeviation-Y" -0.531421035602689
"laying" 25 "meanTimeBodyAccelerationStandardDeviation-Z" -0.64709556105868
"laying" 25 "meanTimeBodyGyroscopeJerkMagnitudeMean" -0.849630706259169
"laying" 25 "meanTimeBodyGyroscopeJerkMagnitudeStandardDeviation" -0.872776184449878
"laying" 25 "meanTimeBodyGyroscopeJerkMean-X" -0.108263884562298
"laying" 25 "meanTimeBodyGyroscopeJerkMean-Y" -0.0389884753435208
"laying" 25 "meanTimeBodyGyroscopeJerkMean-Z" -0.0555782223647433
"laying" 25 "meanTimeBodyGyroscopeJerkStandardDeviation-X" -0.768682473178484
"laying" 25 "meanTimeBodyGyroscopeJerkStandardDeviation-Y" -0.902628080757946
"laying" 25 "meanTimeBodyGyroscopeJerkStandardDeviation-Z" -0.831848667286064
"laying" 25 "meanTimeBodyGyroscopeMagnitudeMean" -0.625733064258924
"laying" 25 "meanTimeBodyGyroscopeMagnitudeStandardDeviation" -0.68515279467066
"laying" 25 "meanTimeBodyGyroscopeMean-X" -0.00298151164792176
"laying" 25 "meanTimeBodyGyroscopeMean-Y" -0.083900354157824
"laying" 25 "meanTimeBodyGyroscopeMean-Z" 0.0993606079900489
"laying" 25 "meanTimeBodyGyroscopeStandardDeviation-X" -0.683131970775061
"laying" 25 "meanTimeBodyGyroscopeStandardDeviation-Y" -0.752261013276284
"laying" 25 "meanTimeBodyGyroscopeStandardDeviation-Z" -0.74741022
"laying" 25 "meanTimeGravityAccelerationMagnitudeMean" -0.583377749713936
"laying" 25 "meanTimeGravityAccelerationMagnitudeStandardDeviation" -0.659015505611247
"laying" 25 "meanTimeGravityAccelerationMean-X" 0.672386622127139
"laying" 25 "meanTimeGravityAccelerationMean-Y" 0.0471601427530562
"laying" 25 "meanTimeGravityAccelerationMean-Z" 0.239226040930391
"laying" 25 "meanTimeGravityAccelerationStandardDeviation-X" -0.950017091344743
"laying" 25 "meanTimeGravityAccelerationStandardDeviation-Y" -0.901088770963325
"laying" 25 "meanTimeGravityAccelerationStandardDeviation-Z" -0.880682330706602
"laying" 26 "meanFrequencyBodyAccelerationJerkMean-X" -0.828885664342105
"laying" 26 "meanFrequencyBodyAccelerationJerkMean-Y" -0.813670066978947
"laying" 26 "meanFrequencyBodyAccelerationJerkMean-Z" -0.841140613026316
